"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Tarleton St.Florida St.11-12",2024-11-12,"Florida St.","Florida St.",72,52,"H",99.2,85,99.1,49,23.4,37.9,77.6,19.05,99.2,85,99.1,49,23.4,37.9,77.6,19.05
"Tarleton St.SMU11-4",2024-11-04,"SMU","SMU",96,62,"H",133,96.8,129.9,62.7,17.6,39.4,34.9,42.31,133,96.8,129.9,62.7,17.6,39.4,34.9,42.31
"TempleBoston College11-15",2024-11-15,"Boston College","Boston College",72,69,"H",108.4,103.6,110.7,48.4,12.3,34.2,32.8,35,108.4,103.6,110.7,48.4,12.3,34.2,32.8,35
"TennesseeLouisville11-9",2024-11-09,"Louisville","Louisville",55,77,"H",99.1,107.2,81.8,35,22.3,31.7,21.7,25.64,99.1,107.2,81.8,35,22.3,31.7,21.7,25.64
"TennesseeVirginia11-21",2024-11-21,"Virginia","Virginia",42,64,"N",92,92.5,69.4,34.7,29.8,30.6,22.4,30,92,92.5,69.4,34.7,29.8,30.6,22.4,30
"Texas SouthernGeorgia Tech11-12",2024-11-12,"Georgia Tech","Georgia Tech",81,62,"H",108.6,90.8,109,47.4,18.8,34.1,58.6,30.56,108.6,90.8,109,47.4,18.8,34.1,58.6,30.56
"The CitadelBoston College11-4",2024-11-04,"Boston College","Boston College",69,60,"H",92.4,102.3,101.3,43.5,20.6,37.8,51.9,27.78,92.4,102.3,101.3,43.5,20.6,37.8,51.9,27.78
"UC DavisStanford11-17",2024-11-17,"Stanford","Stanford",79,65,"H",113.7,99.3,109,43.3,13.8,37.2,37.3,28.57,113.7,99.3,109,43.3,13.8,37.2,37.3,28.57
"UMBCGeorgia Tech12-18",2024-12-18,"Georgia Tech","Georgia Tech",91,82,"H",111.9,108.1,121.5,59,18.7,40,47.5,50,111.9,108.1,121.5,59,18.7,40,47.5,50
"UNC GreensboroSMU11-11",2024-11-11,"SMU","SMU",81,68,"H",107.6,95.4,110.4,47.6,15,33.3,47.6,26.09,107.6,95.4,110.4,47.6,15,33.3,47.6,26.09
